FISHID,Year,Month,SL_mm,WholeBodyWW_g,TOTAL_Liver_WW_g,Heatwave,logSL,logWeight,HSI,HSI_numeric,LWResiduals_All
BL2342,2016,7,60,1.812,0.0143,Heatwave,4.094344562,0.594431208,0.789183223,0.789183223,-0.121132703
BL0007,2009,8,57,1.8135,0.0143,Before,4.043051268,0.59525868,0.788530466,0.788530466,0.036913836
BL2149,2014,7,50,1.0911,0.0086,Heatwave,3.912023005,0.087186362,0.788195399,0.788195399,-0.069543781
BL2022,2018,7,54,1.5272,0.012,Between,3.988984047,0.423435993,0.785751702,0.785751702,0.030812579
BL2037,2018,7,62,2.3225,0.0182,Between,4.127134385,0.842644192,0.783638321,0.783638321,0.026576202
BL0993,2012,7,41.55,0.6461,0.005,Before,3.726897521,-0.436800988,0.773874013,0.773874013,-0.026103047
BL2021,2018,7,58,1.9071,0.0148,Between,4.060443011,0.645583764,0.776047402,0.776047402,0.033931493
BL0025,2009,8,66,3.0612,0.0238,Before,4.189654742,1.118806996,0.777472886,0.777472886,0.111107873
BL0118,2009,8,65,3.1258,0.0242,Before,4.17438727,1.13969025,0.774201804,0.774201804,0.178787453
BL2309,2015,7,47,0.59,0.0046,Heatwave,3.850147602,-0.527632742,0.779661017,0.779661017,-0.494708597
BL2188,2018,8,57,1.7083,0.0132,Between,4.043051268,0.535498724,0.772698004,0.772698004,-0.02284612
BL2432,2012,8,76,4.83871,0.03693,Before,4.33073334,1.576648156,0.763219949,0.763219949,0.136529049
BL2217,2015,8,91,7.488,0.0571,Heatwave,4.510859507,2.013301739,0.762553419,0.762553419,0.021077956
BL0059,2009,7,42,0.7368,0.0056,Before,3.737669618,-0.305438794,0.760043431,0.760043431,0.072241595
BL2339,2016,7,62,2.335,0.0177,Heatwave,4.127134385,0.848011891,0.758029979,0.758029979,0.031943901
BL2448,2012,7,56,2.06507,0.0156,Before,4.025351691,0.725164124,0.755422334,0.755422334,0.221070251
BL2288,2017,7,67,3.354,0.0253,Between,4.204692619,1.210153663,0.754323196,0.754323196,0.156361945
BL2008,2018,7,96,9.5194,0.0718,Between,4.564348191,2.253331822,0.754249217,0.754249217,0.097159881
BL2184,2018,8,90,9.7499,0.0734,Between,4.49980967,2.277257029,0.752828234,0.752828234,0.318902096
BL0003,2009,8,58,2.1426,0.0161,Before,4.060443011,0.762020045,0.751423504,0.751423504,0.150367774
BL0199,2009,8,55,1.9321,0.0145,Before,4.007333185,0.658607494,0.750478754,0.750478754,0.209742138
BL0966,2012,8,58.58,2.2047,0.0164,Before,4.070393341,0.790591445,0.743865379,0.743865379,0.148440417
BL0023,2009,8,75,4.718,0.0352,Before,4.317488114,1.551384981,0.746078847,0.746078847,0.151863816
BL2096,2013,8,65,2.5052,0.0187,Before,4.17438727,0.918368572,0.746447389,0.746447389,-0.042534226
BL0967,2012,8,63.76,2.5836,0.0191,Before,4.155126034,0.949183775,0.739278526,0.739278526,0.047318586
BL2064,2013,7,48,1.2005,0.0089,Before,3.871201011,0.182738137,0.741357768,0.741357768,0.151131481
BL0033,2009,8,69,2.9918,0.0221,Before,4.234106505,1.095875213,0.738685741,0.738685741,-0.048072999
BL2201,2015,8,101,10.7229,0.0792,Heatwave,4.615120517,2.372381641,0.738606161,0.738606161,0.060587456
BL0972,2012,7,43.97,0.8292,0.0061,Before,3.783507583,-0.187293898,0.735648818,0.735648818,0.049888554
BL0096,2009,8,75,4.2777,0.0314,Before,4.317488114,1.453415482,0.73403932,0.73403932,0.053894317
BL0955,2012,8,58.76,1.9556,0.0144,Before,4.073461351,0.670697052,0.736346901,0.736346901,0.019142267
BL0146,2009,8,81,6.4048,0.0467,Before,4.394449155,1.857047709,0.729140645,0.729140645,0.221633272
BL2159,2014,7,58,1.8127,0.0131,Heatwave,4.060443011,0.594817446,0.722678877,0.722678877,-0.016834824
BL2193,2018,8,73,4.8877,0.0354,Between,4.290459441,1.586721845,0.724267038,0.724267038,0.270046259
BL0039,2009,8,61,2.3642,0.0171,Before,4.110873864,0.860439698,0.723289062,0.723289062,0.094211828
BL0196,2009,8,82,6.3918,0.0462,Before,4.406719247,1.855015919,0.722801089,0.722801089,0.181992424
BL2416,2012,8,95,10.40589,0.0749,Before,4.553876892,2.342371992,0.71978466,0.71978466,0.21829563
BL2207,2015,8,90,7.7425,0.0557,Heatwave,4.49980967,2.046724633,0.719405877,0.719405877,0.0883697
BL2146,2014,7,50,1.2967,0.0093,Heatwave,3.912023005,0.259822576,0.717205213,0.717205213,0.103092433
BL0960,2012,7,38.7,0.6211,0.0044,Before,3.6558396,-0.476263179,0.708420544,0.708420544,0.152234383
