FISHID,Year,Month,SL_mm,TL_mm,WholeBodyWW_g,TOTAL_Liver_WW_g
BL0074,2009,7,32,39,0.4319,0.0005
BL2278,2017,8,84,91,5.5913,0.0065
BL0278,2006,8,65,71,2.7814,0.0032
BL2127,2015,7,46,51,0.9111,0.001
BL0887,2010,8,70,NA,3.5078,0.004
BL0642,2008,8,79,87,3.4427,0.0039
BL0540,2008,8,90,98,4.6832,0.0052
BL0274,2006,8,74,81,4.9042,0.0054
BL0837,2010,7,46,51,1.1824,0.0013
BL0140,2009,8,62,68,2.5818,0.0028
BL2076,2013,7,44,49,0.871,0.0009
BL0838,2010,7,48,53,1.2295,0.0013
BL0668,2008,8,73,79,2.4697,0.0026
BL0549,2008,8,72,78,2.4021,0.0025
BL0736,2007,8,42,45,0.594,0.0006
BL0859,2010,7,40,44,0.6952,0.0007
BL0538,2008,8,85,92,3.9843,0.004
BL0661,2008,8,76,84,2.7026,0.0027
BL0779,2010,7,50,55,1.3156,0.0013
BL0783,2010,7,48,53,1.2252,0.0012
BL0720,2007,8,50,55,0.723,0.0007
BL0871,2010,7,46,51,1.0341,0.001
BL0380,2006,8,72,78,3.9537,0.0038
BL0851,2010,7,41,45,0.8325,0.0008
BL0648,2008,8,77,84,3.0421,0.0029
BL2084,2013,7,54,58,1.0552,0.001
BL0729,2007,8,50,55,0.765,0.0007
BL0867,2010,7,40,44,0.6572,0.0006
BL0450,2006,8,58,64,2.104,0.0019
BL0141,2009,8,77,82,5.326,0.0048
BL0725,2007,8,45,50,0.5561,0.0005
BL0784,2010,7,46,50,1.1176,0.001
BL0802,2010,7,45,49,1.0096,0.0009
BL0835,2010,7,48,53,1.2422,0.0011
BL0664,2008,8,66,72,1.8216,0.0016
BL2165,2014,7,50,54,1.1525,0.001
BL2150,2014,7,48,52,1.0616,0.0009
BL0545,2008,8,80,87,3.5461,0.0031
BL0597,2008,8,78,85,3.4461,0.003
BL0886,2010,8,61,66,2.4187,0.0021
BL0635,2008,8,86,94,4.3906,0.0038
BL0586,2008,8,45,49,0.578,0.0005
BL2273,2017,8,80,85,5.7639,0.005
BL0888,2010,8,74,81,4.81,0.0041
BL0728,2007,8,65,71,1.7652,0.0015
BL0818,2010,7,44,NA,0.9454,0.0008
BL0219,2009,7,44,47,0.8297,0.0007
BL0547,2008,8,59,64,1.5412,0.0013
BL0876,2010,7,52,57,1.5677,0.0013
BL0655,2008,8,77,84,2.6714,0.0022
BL0706,2008,8,75,82,2.4289,0.002
BL0246,2009,7,44,47,0.8516,0.0007
BL0214,2009,7,44,NA,0.7313,0.0006
BL0718,2007,8,58,62,0.6135,0.0005
BL2077,2013,7,50,54,1.2496,0.001
BL0340,2006,8,108,117,14.9817,0.0121
BL0667,2008,8,68,74,1.9812,0.0016
BL0785,2010,7,50,55,1.4943,0.0012
BL0857,2010,7,43,47,0.8759,0.0007
BL0345,2006,8,82,90,6.3915,0.0051
BL0609,2008,8,70,76,2.3812,0.0019
BL0521,2006,8,73,80,4.262,0.0034
BL2455,2012,7,38,41,0.57778,0.00046
BL0889,2010,8,76,83,5.6717,0.0045
BL0816,2010,7,54,59,1.7765,0.0014
BL0221,2009,7,33,36,0.2545,0.0002
BL0657,2008,8,65,71,1.7839,0.0014
BL0614,2008,8,72,78,2.0399,0.0016
BL0856,2010,7,43,47,0.8943,0.0007
BL0213,2009,7,40,44,0.6407,0.0005
BL0522,2006,8,73,81,3.7349,0.0029
BL0626,2008,8,95,104,5.3021,0.0041
BL0546,2008,8,81,88,3.8896,0.003
BL0834,2010,7,54,59,1.8393,0.0014
BL0847,2010,7,43,47,0.921,0.0007
BL0843,2010,7,45,50,1.0594,0.0008
BL0890,2010,8,79,86,5.5883,0.0042
BL2125,2013,8,93,102,9.8656,0.0074
BL0388,2006,8,66,72,2.9489,0.0022
BL0541,2008,8,82,88,3.7562,0.0028
BL0366,2006,8,62,68,2.5786,0.0019
BL2156,2014,7,48,53,1.0833,0.0008
BL0575,2008,8,60,65,1.3576,0.001
BL0595,2008,8,78,85,3.1623,0.0023
BL0673,2008,8,65,70,1.6502,0.0012
BL0646,2008,8,75,81,2.6143,0.0019
BL0323,2006,8,87,94,8.2834,0.006
BL0839,2010,7,45,50,0.9678,0.0007
BL0711,2007,8,65,71,1.3834,0.001
BL0656,2008,8,64,69,1.5241,0.0011
BL0594,2008,8,76,83,3.0551,0.0022
BL0458,2006,8,68,74,3.4788,0.0025
BL0542,2008,8,85,92,4.1761,0.003
BL0650,2008,8,63,69,1.5343,0.0011
BL0739,2007,8,48,53,0.5585,0.0004
BL0891,2010,8,89,97,8.9516,0.0064
BL0649,2008,8,80,88,3.7812,0.0027
BL0849,2010,7,45,49,0.983,0.0007
BL0638,2008,8,83,90,3.7953,0.0027
BL0846,2010,7,44,49,0.9898,0.0007
BL0831,2010,7,48,53,1.2807,0.0009
BL0848,2010,7,44,49,0.9981,0.0007
BL0731,2007,8,49,53,0.7153,0.0005
BL0653,2008,8,85,94,3.7234,0.0026
BL0836,2010,7,46,50,1.006,0.0007
BL0623,2008,8,66,72,1.5839,0.0011
BL0413,2006,8,61,66,2.3068,0.0016
BL0708,2007,8,63,68,1.4429,0.001
BL0789,2010,7,40,44,0.7233,0.0005
BL0833,2010,7,47,52,1.1626,0.0008
BL0877,2010,7,50,54,1.457,0.001
BL0865,2010,7,55,60,1.7645,0.0012
BL0773,2007,7,44,48,0.5901,0.0004
BL0852,2010,7,42,45,0.8889,0.0006
BL0369,2006,8,71,78,4.0062,0.0027
BL0805,2010,7,43,48,0.8939,0.0006
BL0850,2010,7,40,43,0.7487,0.0005
BL0470,2006,8,65,70,3.1678,0.0021
BL0671,2008,8,67,72,1.8191,0.0012
BL0423,2006,8,66,72,2.8934,0.0019
BL0669,2008,8,63,69,1.6753,0.0011
BL0204,2009,8,65,71,2.7489,0.0018
BL0544,2008,8,71,77,2.1647,0.0014
BL2087,2013,8,80,86,5.5189,0.0036
BL0631,2008,8,69,75,2.0146,0.0013
BL0243,2009,7,40,44,0.7776,0.0005
BL0829,2010,7,41,45,0.7777,0.0005
BL0723,2007,8,55,60,1.0904,0.0007
BL0884,2010,8,59,63,3.743,0.0024
BL0662,2008,8,76,82,2.4973,0.0016
BL0244,2009,7,42,45,0.7845,0.0005
BL0593,2008,8,71,78,2.1994,0.0014
BL0860,2010,7,41,45,0.7882,0.0005
BL0590,2008,8,85,92,3.9516,0.0025
BL0475,2006,8,67,73,3.6443,0.0023
BL0685,2008,8,57,63,1.2778,0.0008
BL0639,2008,8,66,72,1.9285,0.0012
BL2059,2013,7,51,56,0.9408,0.0006
BL0461,2006,8,65,71,2.917,0.0018
BL0607,2008,8,77,85,2.604,0.0016
BL0801,2010,7,48,53,1.1398,0.0007
BL0431,2006,8,67,73,3.0947,0.0019
BL0679,2008,8,71,78,2.4446,0.0015
BL0878,2010,7,50,55,1.469,0.0009
BL0844,2010,7,44,49,0.9804,0.0006
BL0211,2009,7,32,40,0.4911,0.0003
BL0632,2008,8,88,95,4.7532,0.0029
BL0830,2010,7,52,57,1.4753,0.0009
BL0645,2008,8,73,79,2.3058,0.0014
BL0866,2010,7,44,49,0.833,0.0005
BL0618,2008,8,73,79,2.3348,0.0014
BL0433,2006,8,55,60,1.8391,0.0011
BL0703,2008,8,76,82,2.3423,0.0014
BL0455,2006,8,77,84,5.5551,0.0033
BL0873,2010,7,47,52,1.181,0.0007
BL0629,2008,8,69,75,1.8581,0.0011
BL0220,2009,7,33,35,0.3383,0.0002
BL0536,2008,8,78,80,3.387,0.002
BL0721,2007,8,59,64,1.1922,0.0007
BL0841,2010,7,52,56,1.535,0.0009
BL0750,2007,7,47,51,0.6876,0.0004
BL0318,2006,8,63,68,2.7638,0.0016
BL0598,2008,8,73,79,2.4469,0.0014
BL0715,2007,8,62,68,1.401,0.0008
BL0572,2008,8,65,71,2.1077,0.0012
BL0295,2006,8,89,96,8.2814,0.0047
BL0543,2008,8,81,87,3.5348,0.002
BL0301,2006,8,74,81,4.2459,0.0024
BL0795,2010,7,46,50,1.2417,0.0007
BL0438,2006,8,56,61,1.9564,0.0011
BL0341,2006,8,88,95,8.7519,0.0049
BL0652,2008,8,54,69,0.8947,0.0005
BL0625,2008,8,74,81,2.5154,0.0014
BL0872,2010,7,46,51,1.08,0.0006
BL0447,2006,8,67,74,3.0698,0.0017
BL0712,2007,8,66,72,1.9964,0.0011
BL0704,2008,8,66,72,1.6375,0.0009
BL0610,2008,8,83,90,3.3031,0.0018
BL0644,2008,8,85,92,4.0564,0.0022
BL0430,2006,8,59,64,1.8459,0.001
BL0710,2007,8,56,61,1.1086,0.0006
BL0861,2010,7,38,41,0.5544,0.0003
BL0603,2008,8,84,91,4.109,0.0022
BL0672,2008,8,61,67,1.3172,0.0007
BL0855,2010,7,36,40,0.5665,0.0003
BL0322,2006,8,84,92,6.2409,0.0033
BL0411,2006,8,70,77,3.6029,0.0019
BL0537,2008,8,88,95,5.1438,0.0027
BL0641,2008,8,69,74,1.9102,0.001
BL0636,2008,8,77,83,3.2564,0.0017
BL0480,2006,8,60,65,2.9071,0.0015
BL0842,2010,7,49,54,1.3575,0.0007
BL0806,2010,7,38,NA,0.5853,0.0003
BL0647,2008,8,71,77,2.1512,0.0011
BL0616,2008,8,75,80,2.5514,0.0013
BL0218,2009,7,39,43,0.5923,0.0003
BL0514,2006,8,60,66,2.1769,0.0011
BL0810,2010,7,50,55,1.3882,0.0007
BL0361,2006,8,97,105,10.7196,0.0054
BL0633,2008,8,94,101,5.5721,0.0028
BL0398,2006,8,64,70,2.7926,0.0014
BL0333,2006,8,67,73,3.3935,0.0017
BL0709,2007,8,64,69,1.2008,0.0006
BL0273,2006,8,60,65,2.4097,0.0012
BL0296,2006,8,94,102,9.8399,0.0049
BL0414,2006,8,58,63,2.0117,0.001
BL0730,2007,8,58,63,1.2087,0.0006
BL0814,2010,7,53,57,1.6117,0.0008
BL0399,2006,8,63,69,2.6252,0.0013
BL0397,2006,8,62,68,2.4308,0.0012
BL0452,2006,8,61,67,2.638,0.0013
BL0714,2007,8,56,61,1.0177,0.0005
BL0654,2008,8,83,91,3.476,0.0017
BL0553,2008,8,54,60,1.0251,0.0005
BL0582,2008,8,51,55,0.829,0.0004
BL0676,2008,8,58,63,1.2435,0.0006
BL0429,2006,8,56,62,1.6613,0.0008
BL0684,2008,8,57,61,1.0433,0.0005
BL0752,2007,7,48,52,0.6288,0.0003
BL0862,2010,7,32,36,0.42,0.0002
BL0791,2010,7,52,58,1.895,0.0009
BL0436,2006,8,61,66,2.3278,0.0011
