"","FISHID","Year","Month","StomachWW_g","ContentsWW_g","SL_mm","WholeBodyWW_g","Heatwave","StomachFullness","sqrtFullness"
"339","BL2411","2008","8",0.17535,0.12486,79,5.2603,"Before",0.0243133986571745,0.155927542971646
"340","BL0731","2007","8",0.02899,0.01666,49,0.7153,"Before",0.0238463300125959,0.154422569634739
"341","BL0881","2010","8",0.14571,0.1201,77,5.2236,"Before",0.0235328695992946,0.153404268517192
"342","BL2104","2013","8",0.07066,0.06016,73,2.6245,"Before",0.0234602275829258,0.153167318912769
"343","BL2412","2008","8",0.23969,0.12827,87,5.6971,"Before",0.0230335636031267,0.151768124463362
"344","BL2171","2018","8",0.65476,0.44026,123,19.5949,"Between",0.0229845092364043,0.151606428743653
"345","BL2102","2013","8",0.10376,0.08104,73,3.6158,"Before",0.0229265919044009,0.15141529613748
"346","BL2418","2012","8",0.08132,0.04814,61,2.20674,"Before",0.0223014917075883,0.149336839753586
"347","BL0384","2006","8",0.07919,0.06518,68,3.0275,"Before",0.0220030246563504,0.148334165505963
"348","BL2414","2012","8",0.12688,0.07138,69,3.36854,"Before",0.0216489342343107,0.14713576803181
"349","BL0727","2007","8",0.02909,0.02356,58,1.1164,"Before",0.0215585081073167,0.14682815842786
"350","BL2420","2012","8",0.30202,0.16309,92,7.91829,"Before",0.0210297606767072,0.145016415197409
"351","BL2265","2017","8",0.12021,0.08724,76,4.254,"Between",0.0209371310082654,0.144696686238025
"352","BL0884","2010","8",0.10942,0.07579,59,3.743,"Before",0.0206669375356197,0.143759999776084
"353","BL0459","2006","8",0.08274,0.06385,67,3.1607,"Before",0.0206177244619533,0.143588733757051
"354","BL2264","2017","8",0.11483,0.09166,77,4.599,"Between",0.0203357190715588,0.142603362763852
"355","BL0538","2008","8",0.14591,0.07801,85,3.9843,"Before",0.0199703555035596,0.14131650824854
"356","BL2212","2018","8",0.16965,0.09893,78,5.1038,"Between",0.0197667471882387,0.140594264421557
"357","BL2363","2019","8",0.25582,0.139,85,7.218,"Heatwave",0.0196355417431841,0.140126877304763
"358","BL2355","2019","8",0.22427,0.10545,79,5.559,"Heatwave",0.0193360288252606,0.139054050013873
"359","BL2419","2012","8",0.24551,0.13518,86,7.1277,"Before",0.019332086286489,0.139039873009468
"360","BL0134","2009","8",0.06492,0.04179,68,2.2484,"Before",0.0189385528027155,0.137617414605549
"361","BL0711","2007","8",0.04822,0.02539,65,1.3834,"Before",0.0186964749891385,0.136735053988136
"362","BL2437","2012","8",0.08375,0.04291,59,2.34719,"Before",0.0186218688701026,0.136461968585033
"363","BL0195","2009","8",0.05811,0.045,59,2.4704,"Before",0.018553640636596,0.136211749260466
"364","BL2361","2019","8",0.41284,0.21423,99,11.846,"Heatwave",0.018417661284568,0.135711684406937
"365","BL2170","2018","8",0.70956,0.39224,130,22.1065,"Between",0.0180637056017566,0.134401285714671
"366","BL2372","2019","8",0.22374,0.12779,86,7.268,"Heatwave",0.017897232714444,0.13378053937118
"367","BL2367","2019","8",0.99287,0.61057,133,34.736,"Heatwave",0.0178919357206634,0.133760740580573
"368","BL0422","2006","8",0.03057,0.02362,53,1.3455,"Before",0.0178684903319515,0.13367307257616
"369","BL2425","2012","8",0.0512,0.02597,54,1.48035,"Before",0.0178564061662014,0.13362786448268
"370","BL2373","2019","8",0.20534,0.09928,72,5.675,"Heatwave",0.0178057721693342,0.133438271006987
"371","BL2428","2012","8",0.04246,0.02406,52,1.38432,"Before",0.0176877949803714,0.132995469773866
"372","BL0200","2009","8",0.08043,0.06381,69,3.672,"Before",0.017684767154723,0.132984086095754
"373","BL2369","2019","8",0.16101,0.08253,74,4.763,"Heatwave",0.0176328445647553,0.132788721526925
"374","BL0722","2007","8",0.02661,0.01144,52,0.6612,"Before",0.0176065008618567,0.132689490397155
"375","BL0550","2008","8",0.05241,0.0238,60,1.3757,"Before",0.0176048524299135,0.132683278637187
"376","BL2203","2015","8",0.14823,0.10884,85,6.341,"Heatwave",0.0174642499550718,0.132152374004676
"377","BL0543","2008","8",0.11982,0.05883,81,3.5348,"Before",0.0169247720780099,0.13009524233426
"378","BL2282","2017","8",0.03573,0.02362,53,1.4264,"Between",0.0168379931279317,0.129761292872457
"379","BL2119","2013","8",0.24126,0.15235,92,9.2426,"Before",0.0167597150793433,0.129459318240686
"380","BL2427","2012","8",0.04579,0.02509,55,1.524,"Before",0.0167388302166241,0.129378631221018
"381","BL2185","2018","8",0.08308,0.04685,65,2.8485,"Between",0.0167222886513305,0.129314688459318
"382","BL2108","2013","8",0.12447,0.0717,74,4.3732,"Before",0.0166686039753574,0.12910694781985
"383","BL2178","2018","8",0.35824,0.20902,103,12.9459,"Between",0.0164106123320625,0.128103912243391
"384","BL2262","2017","8",0.1638,0.1034,87,6.4395,"Between",0.0163191868815202,0.127746572875832
"385","BL2215","2015","8",0.14277,0.10439,86,6.721,"Heatwave",0.0157769613140264,0.125606374495988
"386","BL0723","2007","8",0.02742,0.0169,55,1.0904,"Before",0.015742897065673,0.125470702021121
"387","BL2115","2013","8",0.09957,0.07679,79,4.9591,"Before",0.0157282106216115,0.12541216297318
"388","BL0542","2008","8",0.1806,0.06455,85,4.1761,"Before",0.0156996753049337,0.125298345180348
"389","BL2357","2019","8",0.49689,0.24803,107,16.0571,"Heatwave",0.0156890949309479,0.125256117339425
"390","BL2366","2019","8",0.13626,0.06534,72,4.263,"Heatwave",0.0155658152399194,0.124763036352597
"391","BL2284","2017","8",0.16553,0.09064,83,5.925,"Between",0.0155355514572292,0.12464169229126
"392","BL0293","2006","8",0.22065,0.13133,96,8.6291,"Before",0.0154546428062892,0.124316703649547
"393","BL2259","2017","8",0.10678,0.07602,79,5.094,"Between",0.0151495223177454,0.1230833957841
"394","BL0712","2007","8",0.07867,0.02968,66,1.9964,"Before",0.0150911161731207,0.122845904177228
"395","BL2439","2012","8",0.03382,0.01779,48,1.19755,"Before",0.0150793381704754,0.122797956703177
"396","BL2228","2015","8",0.21774,0.1482,95,10.186,"Heatwave",0.0147641913566718,0.121507988859465
"397","BL0256","2006","8",0.03884,0.03317,64,2.2904,"Before",0.0146950022815575,0.121222944534265
"398","BL2352","2019","8",0.26691,0.12815,91,8.8802,"Heatwave",0.0146422838077936,0.121005304874595
"399","BL2179","2018","8",0.30502,0.18572,108,12.9072,"Between",0.0145989303131397,0.120826033259144
